date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:15	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%226400e44f-154%22	https://www.classcentral.com/robots.txt		(from )
12:25:16	665223/665223	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:25:19%20GMT	https://www.classcentral.com/	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/index.html	(from )
12:25:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Mar%202023%2018:25:21%20GMT	http://schema.org/WebSite	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
12:25:20	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/schema.org/WebSite.html	(from https://www.classcentral.com/)
12:25:21	9463/9463	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
12:25:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Mar%202023%2018:25:25%20GMT	http://twitter.com/classcentral	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
12:25:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Mar%202023%2018:25:28%20GMT	http://www.linkedin.com/company/class-central	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
12:25:25	176282/176282	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:25:27%20GMT	https://twitter.com/classcentral	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/twitter.com/classcentral.html	(from https://www.classcentral.com/)
12:25:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2002%20Mar%202023%2018:25:29%20GMT	https://www.linkedin.com/company/class-central	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
12:25:29	339345/339345	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2018:25:31%20GMT	https://www.linkedin.com/company/classcentral	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.linkedin.com/company/classcentral.html	(from https://www.classcentral.com/)
12:25:30	134846/134846	---MCZ	200	added ('OK')	text/html	etag:W/%22433f682b1252bdbdd7ac7853a3ed11d5%22	https://github.com/classcentral	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/github.com/classcentral.html	(from https://www.classcentral.com/)
12:25:31	2206/2206	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/apple-touch-icon.png	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
12:25:33	975/975	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/favicon-32x32.png	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
12:25:33	731/731	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/favicon-16x16.png	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
12:25:33	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%226400e253-2a1%22	https://www.classcentral.com/site.webmanifest	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
12:25:34	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226400e44f-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
12:25:34	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%226400e253-391%22	https://www.classcentral.com/opensearch.xml	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
12:25:35	892/892	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
12:25:35	892/892	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
12:25:36	988/988	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
12:25:36	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	D:/Documentos/EXURBANPLANNING/Class%20Central/cs7/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
